Date,Open,High,Low,Close,Adj Close,Volume
10/01/13,36.52,36.625,36.009998,36.209999,32.963387,10444400
10/02/13,36.02,36.130001,35.794998,35.945,32.722153,8751600
10/03/13,35.945,36.25,35.529999,35.82,32.608356,7144600
10/04/13,35.884998,36.174999,35.66,36.07,32.835945,7168200
10/07/13,35.705002,35.985001,35.650002,35.669998,32.471794,5172800
10/08/13,35.73,36.314999,35.09,35.139999,31.989326,7514200
10/09/13,35.259998,35.735001,34.98,35.445,32.266975,9282200
10/10/13,36.075001,36.724998,35.970001,36.720001,33.42767,11104800
10/11/13,36.735001,36.865002,36.439999,36.73,33.436771,10792200
10/14/13,36.474998,37.084999,36.389999,37.029999,33.709858,6199800
10/15/13,36.950001,37.185001,36.705002,36.855,33.550556,7951200
10/16/13,37.044998,37.310001,36.860001,37.259998,33.919247,8751600
10/17/13,37.174999,37.325001,37.040001,37.27,33.928349,9384400
10/18/13,37.275002,37.994999,37.134998,37.965,34.561031,9830800
10/21/13,37.945,38.185001,37.75,38.044998,34.633862,9992600
10/22/13,38.055,38.244999,37.759998,37.98,34.574684,6818800
10/23/13,37.77,37.970001,37.555,37.779999,34.392624,4762000
10/24/13,37.805,37.889999,37.619999,37.755001,34.369873,5626400
10/25/13,37.779999,38.18,37.674999,37.849998,34.456345,6889000
10/28/13,37.875,37.990002,37.685001,37.755001,34.369873,6136800
10/29/13,37.889999,38.09,37.77,37.955002,34.551929,4201000
10/30/13,38.305,38.445,37.974998,38.064999,34.652065,6314200
10/31/13,38.02,38.134998,37.57,37.880001,34.483658,8184400
11/01/13,37.900002,38.215,37.825001,38.029999,34.620209,4221600
11/04/13,38.165001,38.27,37.814999,38.185001,34.761314,3609200
11/05/13,38.02,38.66,37.939999,38.599998,35.139095,6320400
11/06/13,38.830002,38.830002,38.075001,38.380001,34.938828,3945400
11/07/13,38.599998,38.650002,37.830002,37.849998,34.456345,6250800
11/08/13,37.794998,38.57,37.790001,38.560001,35.102688,5821600
11/11/13,38.650002,38.68,38.360001,38.580002,35.120892,3523200
11/12/13,38.5,38.630001,38.200001,38.435001,34.988907,4327400
11/13/13,38.27,38.945,38.23,38.924999,35.434963,4802200
11/14/13,39.115002,39.404999,38.945,39.32,35.794544,4764200
11/15/13,39.195,39.639999,39.125,39.610001,36.058548,5774000
11/18/13,39.700001,39.700001,39.165001,39.290001,35.767239,5693200
11/19/13,39.205002,39.314999,38.775002,38.904999,35.416748,6443200
11/20/13,39,39.299999,38.865002,38.919998,35.43042,5893000
11/21/13,38.91,39.110001,38.705002,39.044998,35.544201,4669400
11/22/13,39.23,39.490002,38.990002,39.435001,35.899231,7035600
11/25/13,39.529999,39.805,39.439999,39.564999,36.017567,4583400
11/26/13,39.884998,39.935001,39.580002,39.799999,36.231503,7360400
11/27/13,39.845001,39.915001,39.544998,39.665001,36.108624,3734200
11/29/13,39.790001,39.880001,39.540001,39.57,36.022129,3475200
12/02/13,39.735001,40.07,39.459999,39.544998,35.999374,6467800
