Symbol,Market Cap (intraday),Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio (5 yr expected),Price/Sales (ttm),Price/Book (mrq),Enterprise Value/Revenue,Enterprise Value/EBITDA,Beta
A,45.29B,46.9B,49.92,32.38,3.33,7.79,9.42,8.06,30.3,1.01
AAL,12.84B,47.76B,,-286,0.05,1,,3.72,-4.44,1.85
AAP,13.67B,16.37B,22.45,17.1,1.55,1.27,3.87,1.52,13.2,1.38
AAPL,2.43T,2.4T,32.74,27.27,1.53,7.47,35.13,7.38,24.05,1.21
ABBV,208.26B,280.2B,40.48,8.44,2.04,4.15,15.18,5.58,11.42,0.8
ABC,23.69B,24.57B,,10.88,1.04,0.12,,0.12,8.92,0.54
ABMD,14.47B,13.78B,64.6,61.02,7.16,17.07,10.87,16.26,53.79,1.29
ABT,210.82B,222.2B,37.18,25.57,2.12,5.65,6.28,5.95,21.45,0.68
ACN,198.25B,187.3B,34.93,31.74,2.94,4.13,10.25,3.91,23.32,1.1
ADBE,288.23B,281.46B,52.43,43.12,2.62,20.03,20.83,19.56,49.13,0.95
ADI,61.69B,66.93B,39.92,23.96,2.05,9.95,5.07,10.79,24.2,1.25
ADM,33.1B,45.45B,16.09,13.31,1.75,0.48,1.59,0.67,13.65,0.9
ADP,86.77B,87.25B,35.43,31.18,3.68,5.92,15.31,5.96,22.88,0.73
ADSK,65.22B,66.67B,50.79,43.15,1.7,16.75,57.79,17.12,88.3,1.33
AEE,21.12B,33.92B,21.64,20.45,2.78,3.73,2.31,5.99,13.19,0.27
AEP,42.6B,78.67B,18.65,17.15,2.95,2.76,2.03,5.09,13.65,0.26
AES,16.6B,38.63B,,14.92,2.06,1.67,7.11,3.88,10.83,0.79
AFL,36.08B,40.18B,6.82,10.33,1.68,1.58,1.13,1.76,7.53,0.99
AIG,40.1B,60.68B,,9.14,0.32,0.93,0.65,1.41,7.49,1.35
AIZ,9.4B,9.89B,21.63,12.73,0.82,0.93,1.62,0.98,9.57,0.64
AJG,28.7B,31.86B,31.96,25.48,2.22,4.05,4.05,4.5,18.17,0.71
AKAM,18.77B,20.77B,32.35,19,1.77,5.73,4.35,6.34,19.5,0.41
ALB,21.58B,23.67B,55.17,36.32,1.82,6.7,3.75,7.35,28.81,1.55
ALGN,50.84B,48.35B,111.47,50.58,1.94,18.05,14.98,17.17,75.41,1.69
ALK,7.17B,9.13B,,11.88,0.84,2.63,2.49,3.35,-5.31,1.82
ALL,39.6B,43.7B,11.64,9.98,65.54,0.84,1.61,0.92,3.91,0.84
ALLE,12.06B,13.56B,29.32,23.35,3.6,4.4,16.59,4.95,20.87,1.19
ALXN,41.11B,40.6B,60.36,12.98,1.63,6.56,3.31,6.48,12.44,1.28
AMAT,124.57B,125.21B,28.38,18.49,0.84,6.28,10.39,6.32,20.68,1.45
AMCR,17.82B,24.16B,36.93,14.82,1.8,1.42,3.47,1.93,12.28,0.45
AMD,109.67B,111.56B,37.89,33.31,1.35,9.6,16.93,9.77,50.53,2.03
AME,31.18B,32.87B,38.67,26.42,-24.31,6.85,5.09,7.22,24.85,1.33
AMGN,140.67B,165.01B,20.28,13.71,2.46,5.59,15.09,6.56,13.22,0.71
AMP,28.93B,28.57B,,10.84,1.22,2.35,5.26,2.33,25.85,1.68
AMT,126.65B,159.99B,64.62,51.01,2.91,15.43,31.9,19.49,30.72,0.23
AMZN,1.85T,1.88T,69.96,50.9,1.61,4.42,17.94,4.49,32.92,1.15
ANET,28.24B,24.87B,43.36,32.26,2.85,11.47,8.17,10.1,31.16,1.17
ANSS,30.64B,29.49B,66.87,44.72,4.66,17.61,7.45,16.95,48.33,1.21
ANTM,97.48B,79.25B,21.3,14.06,1.12,0.78,2.88,0.64,8.71,1.05
AON,52.27B,60.31B,25.4,18.5,1.71,4.6,12.3,5.3,17.21,0.84
AOS,11.58B,10.97B,29.58,23.44,3.14,3.82,6.16,3.62,19,1.04
APA,7.62B,18.28B,960.48,9.51,-0.29,1.53,,3.68,7.65,4.93
APD,65.51B,66.6B,34.04,26.77,2.61,7.07,5.02,7.19,19.05,0.8
APH,41.79B,42.93B,33.54,27.64,2.5,4.59,7.65,4.71,20.41,1.25
APTV,42.61B,44.32B,23.64,30.89,0.89,3.07,5.38,3.2,24.64,2.13
ARE,27.82B,37.15B,32.87,54.67,764.1,14.28,2.11,19.07,30.45,0.74
ATO,12.91B,19.18B,17.84,18.23,2.79,4.03,1.65,5.99,13.99,0.39
ATVI,72.46B,64.64B,31.5,21,1.55,8.45,4.73,7.54,20.29,0.6
AVB,30.88B,37.24B,38.66,68.92,25.48,13.73,2.89,16.55,27.45,0.95
AVGO,198.57B,222.4B,44.99,16.16,1.98,7.77,8.29,8.7,17.03,0.95
AVY,17.28B,19.27B,27.73,22.78,2.54,2.37,10.93,2.64,16.94,1.02
AWK,30.07B,38.73B,40.99,35.2,4.33,7.87,4.47,10.14,20.28,0.21
AXP,138.67B,140B,28.29,18.91,0.89,4.15,5.67,4.19,,1.28
AZO,33.55B,40.48B,17.1,17,1.25,2.35,,2.84,11.99,0.95
BA,133.45B,179.41B,,41.79,-14.4,2.36,,3.18,-33.18,1.69
BAC,341.57B,112.33B,17.11,12.82,0.53,4.22,1.37,1.39,,1.57
